"id","latitude","longitude","time","type_crime"
3870,37.8679,-122.259,1453110000,"BURGLARY COMMERCIAL"
3871,37.8676,-122.268,1453161600,"BURGLARY COMMERCIAL"
3872,37.851,-122.29,1453194240,"BURGLARY COMMERCIAL"
3873,37.8802,-122.307,1453320000,"BURGLARY COMMERCIAL"
3874,37.8543,-122.271,1453348800,"BURGLARY COMMERCIAL"
3875,37.8568,-122.28,1453439700,"BURGLARY COMMERCIAL"
3876,37.8582,-122.253,1453584000,"BURGLARY COMMERCIAL"
3877,37.8575,-122.26,1453775400,"BURGLARY COMMERCIAL"
3878,37.8638,-122.281,1453874400,"BURGLARY COMMERCIAL"
3879,37.8531,-122.294,1453891980,"BURGLARY COMMERCIAL"
3880,37.8699,-122.301,1453980480,"BURGLARY COMMERCIAL"
3881,37.8701,-122.284,1454128800,"BURGLARY COMMERCIAL"
3882,37.8566,-122.256,1454175000,"BURGLARY COMMERCIAL"
3883,37.8802,-122.307,1454313600,"BURGLARY COMMERCIAL"
3884,37.851,-122.29,1454328960,"BURGLARY COMMERCIAL"
3885,37.8753,-122.306,1454501100,"BURGLARY COMMERCIAL"
3886,37.882,-122.296,1454587860,"BURGLARY COMMERCIAL"
3887,37.8678,-122.298,1454628600,"BURGLARY COMMERCIAL"
3888,37.8802,-122.307,1454961600,"BURGLARY COMMERCIAL"
3889,37.8729,-122.305,1454990400,"BURGLARY COMMERCIAL"
3890,37.8729,-122.305,1455058800,"BURGLARY COMMERCIAL"
3891,37.8593,-122.259,1455069600,"BURGLARY COMMERCIAL"
3892,37.8587,-122.245,1455290400,"BURGLARY COMMERCIAL"
3893,37.8638,-122.267,1455387180,"BURGLARY COMMERCIAL"
3894,37.86,-122.269,1455421680,"BURGLARY COMMERCIAL"
3895,37.8598,-122.267,1455578760,"BURGLARY COMMERCIAL"
3896,37.8965,-122.274,1455586200,"BURGLARY COMMERCIAL"
3897,37.8729,-122.305,1455688800,"BURGLARY COMMERCIAL"
3898,37.853,-122.266,1455764400,"BURGLARY COMMERCIAL"
3899,37.8683,-122.3,1455894420,"BURGLARY COMMERCIAL"
3900,37.8674,-122.3,1455969900,"BURGLARY COMMERCIAL"
3901,37.8605,-122.292,1456218480,"BURGLARY COMMERCIAL"
3902,37.8653,-122.302,1456232400,"BURGLARY COMMERCIAL"
3903,37.8552,-122.26,1456362000,"BURGLARY COMMERCIAL"
3904,37.8676,-122.261,1456444980,"BURGLARY COMMERCIAL"
3905,37.8513,-122.273,1456792500,"BURGLARY COMMERCIAL"
3906,37.8582,-122.253,1457062200,"BURGLARY COMMERCIAL"
3907,37.8911,-122.284,1457146800,"BURGLARY COMMERCIAL"
3908,37.8709,-122.27,1457208000,"BURGLARY COMMERCIAL"
3909,37.8802,-122.307,1457370000,"BURGLARY COMMERCIAL"
3910,37.8671,-122.268,1457422800,"BURGLARY COMMERCIAL"
3911,37.8593,-122.259,1457580600,"BURGLARY COMMERCIAL"
3912,37.8802,-122.307,1457798400,"BURGLARY COMMERCIAL"
3913,37.8729,-122.305,1458068400,"BURGLARY COMMERCIAL"
